RespondentID,Country,Gender,Years_Of_Education,Anti-immigrant_Attitudes,Voted_Party
1,Austria,female,19,0,GRUNE
2,Austria,male,11,5,OVP
3,Austria,female,13,5,NEOS
4,Austria,male,12,5,GRUNE
5,Austria,female,11,10,OVP
6,Austria,female,20,7,GRUNE
7,Austria,female,14,8,GRUNE
8,Austria,male,13,7,GGG
9,Austria,male,12,8,SPO
10,Austria,female,14,9,GGG
11,Austria,male,25,4,OVP
12,Austria,male,14,7,OVP
13,Austria,male,8,5,SPO
14,Austria,female,13,5,GRUNE
15,Austria,male,14,7,OVP
16,Austria,female,16,8,SPO
17,Austria,female,13,8,OVP
18,Austria,female,8,8,OVP
19,Austria,male,9,0,NEOS
20,Austria,male,11,7,SPO
21,Austria,male,25,4,GRUNE
22,Austria,female,12,6,OVP
23,Austria,female,12,10,GGG
24,Austria,male,13,6,OVP
25,Austria,male,16,8,OVP
26,Austria,male,17,5,GRUNE
27,Austria,male,13,10,GGG
28,Austria,male,11,8,SPO
29,Austria,male,9,8,OVP
30,Austria,male,15,5,SPO
31,Austria,female,15,4,SPO
32,Austria,female,17,3,GRUNE
33,Austria,female,18,10,OVP
34,Austria,male,9,7,OVP
35,Austria,female,12,8,SPO
36,Austria,male,10,9,GGG
37,Austria,female,22,6,OVP
38,Austria,female,13,6,OVP
39,Austria,male,14,5,SPO
40,Austria,male,11,5,OVP
41,Austria,male,15,5,OVP
42,Austria,male,12,9,SPO
43,Austria,female,12,10,GGG
44,Austria,female,14,8,OVP
45,Austria,male,13,5,GRUNE
46,Austria,male,9,10,SPO
47,Austria,female,16,8,OVP
48,Austria,male,17,2,GRUNE
49,Austria,male,9,7,OVP
50,Austria,female,12,5,OVP
51,Austria,male,13,3,NEOS
52,Austria,male,10,7,GGG
53,Austria,female,13,5,GRUNE
54,Austria,male,15,9,OVP
55,Austria,male,18,5,GRUNE
56,Austria,male,11,7,SPO
57,Austria,female,20,2,GRUNE
58,Austria,male,12,6,GRUNE
59,Austria,male,11,10,SPO
60,Austria,male,9,5,OVP
61,Austria,male,11,2,SPO
62,Austria,female,15,5,OVP
63,Austria,male,18,5,NEOS
64,Austria,male,17,2,GRUNE
65,Austria,female,13,10,OVP
66,Austria,female,13,5,OVP
67,Austria,female,13,5,GRUNE
68,Austria,female,18,6,GRUNE
69,Austria,female,8,1,SPO
70,Austria,male,14,6,OVP
71,Austria,male,12,0,OVP
72,Austria,male,12,5,GGG
73,Austria,female,16,7,OVP
74,Austria,male,13,3,SPO
75,Austria,male,15,8,OVP
76,Austria,female,7,6,SPO
77,Austria,female,13,5,OVP
78,Austria,female,20,5,GRUNE
79,Austria,female,13,7,OVP
80,Austria,male,18,9,OVP
81,Austria,male,17,7,OVP
82,Austria,female,15,6,OVP
83,Austria,female,8,5,SPO
84,Austria,male,12,8,OVP
85,Austria,female,12,6,SPO
86,Austria,male,12,7,SPO
87,Austria,female,11,7,OVP
88,Austria,female,10,8,OVP
89,Austria,female,12,5,GRUNE
90,Austria,female,14,5,GRUNE
91,Austria,male,15,7,SPO
92,Austria,male,15,5,NEOS
93,Austria,male,9,2,SPO
94,Austria,female,14,6,OVP
95,Austria,male,20,4,GRUNE
