party_name,country_name,left_right
AFD,Germany,Left
AP,Latvia,Right
BDE,Portugal,Left
CDA,Netherlands,Right
CDP,Switzerland,Left
CDU,Germany,Right
CDV,Belgium,Left
CIUDADANOS,Spain,Right
CONSERVATIVE,United Kingdom,Right
CPG,Greece,Left
CRL,Greece,Left
D66,Netherlands,Left
DK,Hungary,Left
ECOLO,Belgium,Left
ECP,Spain,Left
EK,Estonia,Left
ER,Estonia,Right
FDP,Germany,Right
FDPS,Switzerland,Right
FI,France,Left
FMPP,Hungary,Right
FN,France,Left
FORZA,Italy,Right
FRATELLI,Italy,Right
GGG,Austria,Right
GL,Finland,Left
GLN,Netherlands,Left
GPS,Switzerland,Right
GPSS,Switzerland,Left
GREENS,Germany,Left
GROEN,Belgium,Left
GRUNE,Austria,Left
JKP,Latvia,Right
JMM,Hungary,Left
JV,Latvia,Right
JXC,Spain,Left
KDNP,Hungary,Right
KO,Poland,Left
KPVLV,Latvia,Right
LA,Finland,Left
LABOURUK,United Kingdom,Left
LDUK,United Kingdom,Left
LEGA,Italy,Right
LEVICA,Slovenia,Left
LMP,Hungary,Left
LMS,Slovenia,Left
LPN,Netherlands,Left
LREM,France,Right
M5V,Italy,Left
MR,Belgium,Right
MSZP,Hungary,Left
NAVL,Latvia,Right
ND,Greece,Right
NEOS,Austria,Right
NSI,Slovenia,Right
NVA,Belgium,Right
OVLD,Belgium,Right
OVP,Austria,Right
PCPPEVCDU,Portugal,Left
PD,Italy,Left
PF,Netherlands,Right
PPDPSD,Portugal,Right
PPFM,Netherlands,Right
PPS,Spain,Right
PS,Belgium,Left
PSF,France,Left
PSM,Greece,Left
PSOE,Spain,Left
PSP,Poland,Left
PSPOR,Portugal,Left
PTB,Belgium,Left
SAB,Slovenia,Left
SCP,Finland,Left
SDPS,Switzerland,Left
SDS,Slovenia,Right
SDSL,Slovenia,Left
SE,Estonia,Left
SLD,Poland,Left
SMC,Slovenia,Left
SNPUK,United Kingdom,Left
SPAV,Belgium,Left
SPD,Germany,Left
SPN,Netherlands,Left
SPO,Austria,Left
SPP,Switzerland,Right
TCP,Finland,Left
TF,Finland,Right
TL,Germany,Left
TNCP,Finland,Right
UP,Spain,Left
VB,Belgium,Right
VOX,Spain,Right
ZZS,Latvia,Left
